,positives,groups
0,0.0,20.0
1,0.0,20.0
2,0.0,20.0
3,0.0,20.0
4,0.0,20.0
5,0.0,20.0
6,0.0,20.0
7,0.0,19.0
8,0.0,19.0
9,0.0,19.0
10,0.0,19.0
11,0.0,18.0
12,0.0,18.0
13,0.0,17.0
14,1.0,20.0
15,1.0,20.0
16,1.0,20.0
17,1.0,20.0
18,1.0,19.0
19,1.0,19.0
20,1.0,18.0
21,1.0,18.0
22,2.0,25.0
23,2.0,24.0
24,2.0,23.0
25,2.0,20.0
26,2.0,20.0
27,2.0,20.0
28,2.0,20.0
29,2.0,20.0
30,2.0,20.0
31,1.0,10.0
32,5.0,49.0
33,2.0,19.0
34,5.0,46.0
35,3.0,27.0
36,2.0,17.0
37,7.0,49.0
38,7.0,47.0
39,3.0,20.0
40,3.0,20.0
41,2.0,13.0
42,9.0,48.0
43,10.0,50.0
44,4.0,20.0
45,4.0,20.0
46,4.0,20.0
47,4.0,20.0
48,4.0,20.0
49,4.0,20.0
50,4.0,20.0
51,10.0,48.0
52,4.0,19.0
53,4.0,19.0
54,4.0,19.0
55,5.0,22.0
56,11.0,46.0
57,12.0,49.0
58,5.0,20.0
59,5.0,20.0
60,6.0,23.0
61,5.0,19.0
62,6.0,22.0
63,6.0,20.0
64,6.0,20.0
65,6.0,20.0
66,16.0,52.0
67,15.0,46.0
68,15.0,47.0
69,9.0,24.0
70,4.0,14.0
